cue,target,strength
LAUGH,HAPPY,0.139
LAUGH,SMILE,0.091
LAUGH,GIGGLE,0.073
LAUGH,FUNNY,0.055
LAUGH,JOKE,0.055
LAUGH,FUN,0.024
LAUGH,REACTION,0.012
LAUNCH,ROCKET,0.311
LAUNCH,SHUTTLE,0.25
LAUNCH,OFF,0.047
LAUNCH,MISSILE,0.027
LAUNCH,PLANE,0.027
LAUNCH,BOAT,0.02
LAUNCH,FLY,0.02
LAUNCH,LUNCH,0.02
LAUNCH,ORBIT,0.02
LAUNCH,SHIP,0.02
LAUNCH,SPACESHIP,0.02
LAUNCH,DOCK,0.014
LAUNCH,FIRE,0.014
LAUNCH,PAD,0.014
LAUNCH,SEND,0.014
LAUNCH,SET,0.014
LAUNCH,UP,0.014
LAUNDRY,DIRTY,0.255
LAUNDRY,CLOTHES,0.235
LAUNDRY,WASH,0.092
LAUNDRY,BASKET,0.082
LAUNDRY,CLEAN,0.061
LAUNDRY,SOAP,0.051
LAUNDRY,WORK,0.041
LAUNDRY,DETERGENT,0.031
LAVA,VOLCANO,0.388
LAVA,HOT,0.197
LAVA,LAMP,0.132
LAVA,ROCK,0.086
LAVA,MOLTEN,0.026
LAVA,SOAP,0.026
LAVA,FLOW,0.013
LAVA,HAWAII,0.013
LAVA,LIQUID,0.013
LAVA,MAGMA,0.013
LAVA,RED,0.013
LAW,ORDER,0.186
LAW,POLICE,0.124
LAW,COURT,0.093
LAW,LAWYER,0.093
LAW,BREAK,0.052
LAW,SCHOOL,0.052
LAW,CRIME,0.031
LAW,CRIMINAL,0.031
LAW,ENFORCEMENT,0.031
LAW,JAIL,0.031
LAW,JUSTICE,0.031
LAW,RULE,0.031
LAW,JUDGE,0.021
LAW,LEGAL,0.021
LAWFUL,POLICE,0.128
LAWFUL,LAWYER,0.108
LAWFUL,UNLAWFUL,0.095
LAWFUL,GOOD,0.074
LAWFUL,LEGAL,0.074
LAWFUL,CITIZEN,0.041
LAWFUL,RIGHT,0.034
LAWFUL,ENTRY,0.027
LAWFUL,ILLEGAL,0.027
LAWFUL,OBEDIENT,0.027
LAWFUL,COURT,0.02
LAWFUL,HONEST,0.02
LAWFUL,LAW,0.02
LAWFUL,LAW ABIDING,0.02
LAWFUL,COP,0.014
LAWFUL,CORRECT,0.014
LAWFUL,CRIMINAL,0.014
LAWFUL,JUST,0.014
LAWFUL,OBEY,0.014
LAWFUL,WIFE,0.014
LAWN,GRASS,0.397
LAWN,MOWER,0.185
LAWN,GREEN,0.13
LAWN,MOW,0.092
LAWN,CUT,0.038
LAWN,CHAIR,0.033
LAWN,YARD,0.022
LAWN,BOY,0.011
LAWN,CARE,0.011
LAWN,GARDEN,0.011
LAWN,JOB,0.011
LAWS,RULES,0.395
LAWS,POLICE,0.075
LAWS,BREAK,0.048
LAWS,COURT,0.034
LAWS,ORDER,0.034
LAWS,REGULATIONS,0.034
LAWS,ABIDE,0.027
LAWS,GOVERNMENT,0.027
LAWS,LAWYER,0.027
LAWS,CODES,0.02
LAWS,COPS,0.02
LAWS,LEGAL,0.02
LAWS,ATTORNEY,0.014
LAWS,COUNTRY,0.014
LAWS,RESTRICTIONS,0.014
LAWS,USA,0.014
LAWSUIT,LAWYER,0.299
LAWSUIT,SUE,0.204
LAWSUIT,MONEY,0.109
LAWSUIT,COURT,0.054
LAWSUIT,ATTORNEY,0.048
LAWSUIT,CRIMINAL,0.02
LAWSUIT,FILE,0.014
LAWSUIT,JAIL,0.014
LAWSUIT,LAW,0.014
LAWSUIT,TIE,0.014
LAWSUIT,WIN,0.014
LAWYER,COURT,0.155
LAWYER,DOCTOR,0.149
LAWYER,ATTORNEY,0.101
LAWYER,JUDGE,0.101
LAWYER,MONEY,0.081
LAWYER,LAW,0.068
LAWYER,RICH,0.047
LAWYER,LAWSUIT,0.02
LAWYER,CASE,0.014
LAWYER,CROOK,0.014
LAWYER,GUILTY,0.014
LAWYER,LEGAL,0.014
LAWYER,PROFESSIONAL,0.014
LAY,DOWN,0.223
LAY,SLEEP,0.2
LAY,LIE,0.1
LAY,BED,0.062
LAY,SEX,0.062
LAY,SIT,0.046
LAY,REST,0.038
LAY,STAND,0.031
LAY,EGGS,0.023
LAY,PERSON,0.023
LAY,RELAX,0.023
LAY,FALL,0.015
LAY,SET,0.015
LAYER,CAKE,0.247
LAYER,BRICK,0.093
LAYER,CLOTHES,0.073
LAYER,FAT,0.053
LAYER,SKIN,0.047
LAYER,LEVEL,0.027
LAYER,THICK,0.027
LAYER,CHOCOLATE,0.02
LAYER,TOP,0.02
LAYER,CEMENT,0.013
LAYER,CRUST,0.013
LAYER,DIRT,0.013
LAYER,EARTH,0.013
LAYER,OVER,0.013
LAYER,ROCK,0.013
LAYER,TIER,0.013
LAZY,TIRED,0.142
LAZY,BUM,0.088
LAZY,ENERGETIC,0.068
LAZY,SLEEP,0.068
LAZY,SLOW,0.068
LAZY,FAT,0.061
LAZY,BORED,0.034
LAZY,BOY,0.034
LAZY,HAMMOCK,0.027
LAZY,RELAX,0.027
LAZY,ACTIVE,0.02
LAZY,ENERGY,0.02
LAZY,AMBITION,0.014
LAZY,BUSY,0.014
LAZY,DOG,0.014
LAZY,SLOB,0.014
LAZY,WEEKEND,0.014
LAZY,WORK,0.014
LAZY,WORTHLESS,0.014
LEAD,PENCIL,0.321
LEAD,FOLLOW,0.271
LEAD,FIRST,0.036
LEAD,PIPE,0.036
LEAD,PLAY,0.029
LEAD,FRONT,0.021
LEAD,GOLD,0.021
LEAD,METAL,0.021
LEAD,STEEL,0.021
LEAD,ALUMINUM,0.014
LEAD,COPPER,0.014
LEAD,DOG,0.014
LEAD,LEADER,0.014
LEAD,WEIGHT,0.014
LEADER,FOLLOWER,0.248
LEADER,PRESIDENT,0.186
LEADER,CAPTAIN,0.034
LEADER,KING,0.034
LEADER,PACK,0.034
LEADER,RULER,0.034
LEADER,COUNTRY,0.028
LEADER,GROUP,0.028
LEADER,POWER,0.028
LEADER,AUTHORITY,0.021
LEADER,CHIEF,0.021
LEADER,GENERAL,0.021
LEADER,HEAD,0.021
LEADER,BAND,0.014
LEADER,BOSS,0.014
LEADER,COMMANDER,0.014
LEADER,DICTATOR,0.014
LEADER,MAN,0.014
LEADER,RULE,0.014
LEADER,SCOUTS,0.014
LEADER,STRENGTH,0.014
LEADER,STRONG,0.014
LEADERSHIP,PRESIDENT,0.177
LEADERSHIP,FOLLOWER,0.061
LEADERSHIP,HEAD,0.041
LEADERSHIP,SKILL,0.041
LEADERSHIP,ABILITY,0.034
LEADERSHIP,AUTHORITY,0.034
LEADERSHIP,BOSS,0.027
LEADERSHIP,MANAGER,0.027
LEADERSHIP,POLITICS,0.027
LEADERSHIP,POWER,0.027
LEADERSHIP,ROLE,0.027
LEADERSHIP,RULER,0.027
LEADERSHIP,TEAM,0.027
LEADERSHIP,FELLOWSHIP,0.02
LEADERSHIP,GOALS,0.02
LEADERSHIP,QUALITY,0.02
LEADERSHIP,STRENGTH,0.02
LEADERSHIP,STRONG,0.02
LEADERSHIP,CAPTAIN,0.014
LEADERSHIP,LEADER,0.014
LEADERSHIP,TRAINING,0.014
LEAF,TREE,0.642
LEAF,GREEN,0.042
LEAF,PLANT,0.042
LEAF,FALL,0.036
LEAF,BRANCH,0.024
LEAF,LEAVES,0.018
LEAF,MAPLE,0.018
LEAF,OAK,0.018
LEAF,FLOWER,0.012
LEAF,POT,0.012
LEAGUE,BASEBALL,0.551
LEAGUE,LITTLE,0.145
LEAGUE,TEAM,0.043
LEAGUE,GROUP,0.036
LEAGUE,FOOTBALL,0.022
LEAGUE,SOFTBALL,0.022
LEAGUE,BOWLING,0.014
LEAGUE,IVY,0.014
LEAGUE,MAJOR,0.014
LEAGUE,MINOR,0.014
LEAGUE,SEA,0.014
LEAGUE,SECTION,0.014
LEAGUE,SPORT,0.014
LEAK,DRIP,0.247
LEAK,WATER,0.151
LEAK,FAUCET,0.137
LEAK,HOLE,0.062
LEAK,FIX,0.041
LEAK,BROKEN,0.034
LEAK,SPILL,0.034
LEAK,CRACK,0.027
LEAK,PIPE,0.027
LEAK,SINK,0.021
LEAK,AIR,0.014
LEAK,BATHROOM,0.014
LEAK,BOAT,0.014
LEAK,DICK,0.014
LEAK,DRAIN,0.014
LEAN,SKINNY,0.159
LEAN,THIN,0.128
LEAN,FAT,0.118
LEAN,MEAN,0.062
LEAN,MEAT,0.062
LEAN,SLIM,0.041
LEAN,TRIM,0.031
LEAN,BACON,0.026
LEAN,BEND,0.026
LEAN,STAND,0.026
LEAN,FALL,0.021
LEAN,REST,0.021
LEAN,LAY,0.015
LEAN,NOT FAT,0.015
LEAN,SLEEK,0.015
LEAN,MACHINE,0.01
LEAN,NEAT,0.01
LEAN,PUSH,0.01
LEAN,STRONG,0.01
LEAN,TILT,0.01
LEAN,TIP,0.01
LEAN,TIRED,0.01
LEAP,JUMP,0.522
LEAP,FROG,0.13
LEAP,BOUND,0.06
LEAP,YEAR,0.043
LEAP,FALL,0.016
LEAP,FORWARD,0.016
LEAP,HIGH,0.016
LEAP,HOP,0.016
LEAP,OVER,0.016
LEAP,UP,0.016
LEAP,HURDLE,0.011
LEARN,TEACH,0.178
LEARN,SCHOOL,0.167
LEARN,KNOWLEDGE,0.122
LEARN,KNOW,0.106
LEARN,EDUCATION,0.044
LEARN,FORGET,0.033
LEARN,GROW,0.022
LEARN,STUDY,0.022
LEARN,UNDERSTAND,0.022
LEARN,BOOK,0.017
LEARN,GAIN,0.017
LEARN,READ,0.017
LEARN,SMART,0.017
LEARN,THINK,0.017
LEARN,ABSORB,0.011
LEARN,ACQUIRE,0.011
LEARN,CLASS,0.011
LEARN,FAST,0.011
LEARN,REMEMBER,0.011
LEARNER,STUDENT,0.384
LEARNER,TEACHER,0.233
LEARNER,SCHOOL,0.027
LEARNER,BEGINNER,0.021
LEARNER,OBSERVER,0.021
LEARNER,PUPIL,0.021
LEARNER,SMART,0.021
LEARNER,LISTENER,0.014
LEARNER,READER,0.014
LEARNER,STORE,0.014
LEARNING,SCHOOL,0.227
LEARNING,KNOWLEDGE,0.073
LEARNING,BOOK,0.067
LEARNING,TEACH,0.067
LEARNING,SMART,0.06
LEARNING,EDUCATION,0.047
LEARNING,READ,0.047
LEARNING,UNDERSTAND,0.04
LEARNING,STUDY,0.027
LEARNING,DISABILITY,0.02
LEARNING,GROWING,0.02
LEARNING,HARD,0.02
LEARNING,ABSORBING,0.013
LEARNING,FORGET,0.013
LEARNING,TAUGHT,0.013
LEARNING,THINK,0.013
LEASE,RENT,0.349
LEASE,APARTMENT,0.158
LEASE,HOUSE,0.151
LEASE,CAR,0.072
LEASE,OWN,0.033
LEASE,BUY,0.026
LEASE,BORROW,0.02
LEASE,CONTRACT,0.02
LEASE,MORTGAGE,0.02
LEASE,LEND,0.013
LEASE,LOAN,0.013
LEAST,MOST,0.459
LEAST,MORE,0.108
LEAST,FEW,0.068
LEAST,SMALL,0.061
LEAST,LAST,0.034
LEAST,AMOUNT,0.027
LEAST,GREAT,0.027
LEAST,LESS,0.027
LEAST,FAVORITE,0.014
LEAST,LITTLE,0.014
LEAST,NONE,0.014
LEATHER,COW,0.103
LEATHER,BELT,0.095
LEATHER,JACKET,0.087
LEATHER,COAT,0.063
LEATHER,SHOE,0.063
LEATHER,SUEDE,0.056
LEATHER,PURSE,0.048
LEATHER,GOODS,0.04
LEATHER,HIDE,0.04
LEATHER,STRAP,0.032
LEATHER,BAG,0.024
LEATHER,BLACK,0.024
LEATHER,SKIN,0.024
LEATHER,SOFT,0.024
LEATHER,BOOT,0.016
LEATHER,COWHIDE,0.016
LEATHER,MATERIAL,0.016
LEATHER,ROUGH,0.016
LEATHER,SADDLE,0.016
LEATHER,TAN,0.016
LEAVE,COME,0.194
LEAVE,GO,0.194
LEAVE,ARRIVE,0.049
LEAVE,GOODBYE,0.049
LEAVE,STAY,0.049
LEAVE,ALONE,0.035
LEAVE,HOME,0.035
LEAVE,AWAY,0.028
LEAVE,FORGET,0.028
LEAVE,NOW,0.028
LEAVE,RETURN,0.028
LEAVE,TAKE,0.021
LEAVE,WALK,0.021
LEAVE,ABANDON,0.014
LEAVE,BEHIND,0.014
LEAVE,EXIT,0.014
LEAVE,FOLLOW,0.014
LEAVE,WAIT,0.014
LEAVES,TREE,0.486
LEAVES,FALL,0.171
LEAVES,AUTUMN,0.1
LEAVES,RAKE,0.043
LEAVES,BROWN,0.021
LEAVES,COMES,0.021
LEAVES,GREEN,0.021
LEAVES,CRUNCHY,0.014
LEAVES,EXIT,0.014
LEAVES,GRASS,0.014
LECTURE,BORING,0.159
LECTURE,TALK,0.152
LECTURE,CLASS,0.129
LECTURE,HALL,0.068
LECTURE,SPEECH,0.068
LECTURE,SPEAK,0.045
LECTURE,LONG,0.038
LECTURE,NOTES,0.038
LECTURE,LISTEN,0.03
LECTURE,PROFESSOR,0.03
LECTURE,LEARN,0.023
LECTURE,SCHOOL,0.023
LECTURE,TEACHER,0.023
LECTURE,DISCUSS,0.015
LECTURE,PODIUM,0.015
LECTURE,SLEEP,0.015
LEDGE,CLIFF,0.193
LEDGE,WINDOW,0.152
LEDGE,EDGE,0.117
LEDGE,FALL,0.083
LEDGE,JUMP,0.055
LEDGE,BUILDING,0.048
LEDGE,BALCONY,0.034
LEDGE,SHELF,0.034
LEDGE,CORNER,0.021
LEDGE,HIGH,0.021
LEDGE,MOUNTAIN,0.014
LEDGE,ROCK,0.014
LEDGE,SUICIDE,0.014
LEDGE,WALK,0.014
LEFT,RIGHT,0.939
LEG,ARM,0.503
LEG,FOOT,0.206
LEG,WALK,0.036
LEG,BODY,0.024
LEG,KNEE,0.024
LEG,LONG,0.024
LEG,RUN,0.024
LEG,BROKEN,0.018
LEG,MUSCLE,0.012
LEG,THIGH,0.012
LEGAL,ILLEGAL,0.179
LEGAL,LAWYER,0.179
LEGAL,LAW,0.139
LEGAL,COURT,0.046
LEGAL,AID,0.033
LEGAL,EAGLE,0.033
LEGAL,21,0.026
LEGAL,ALLOWED,0.026
LEGAL,SECRETARY,0.026
LEGAL,OKAY,0.02
LEGAL,PAD,0.02
LEGAL,RIGHT,0.02
LEGAL,COP,0.013
LEGAL,CRIME,0.013
LEGAL,JUDGE,0.013
LEGAL,PAPER,0.013
LEGAL,POLICE,0.013
LEGAL,SAFE,0.013
LEGEND,STORY,0.148
LEGEND,TALE,0.101
LEGEND,HERO,0.06
LEGEND,MAP,0.047
LEGEND,MYTH,0.047
LEGEND,OLD,0.04
LEGEND,ANCIENT,0.034
LEGEND,FAIRYTALE,0.034
LEGEND,HISTORY,0.02
LEGEND,TIME,0.02
LEGEND,TRUTH,0.02
LEGEND,CAR,0.013
LEGEND,FABLE,0.013
LEGEND,KEY,0.013
LEGEND,LEGACY,0.013
LEGEND,MOVIE,0.013
LEGEND,MYSTICAL,0.013
LEGEND,PAST,0.013
LEGEND,UNICORN,0.013
LEGION,FOREIGN,0.159
LEGION,AMERICAN,0.119
LEGION,ARMY,0.111
LEGION,GROUP,0.095
LEGION,MANY,0.071
LEGION,DISEASE,0.048
LEGION,FRENCH,0.032
LEGION,REGION,0.032
LEGION,CLUB,0.024
LEGION,HONOR,0.024
LEGION,HERO,0.016
LEGION,SORE,0.016
LEGION,STORY,0.016
LEGION,TROOP,0.016
LEGION,WAR,0.016
LEGISLATURE,GOVERNMENT,0.289
LEGISLATURE,LAWS,0.204
LEGISLATURE,CONGRESS,0.118
LEGISLATURE,SENATE,0.053
LEGISLATURE,POLITICS,0.046
LEGISLATURE,CROOKS,0.02
LEGISLATURE,RULES,0.02
LEGISLATURE,BOOK,0.013
LEGISLATURE,BULL,0.013
LEGISLATURE,BUREAUCRATIC,0.013
LEGISLATURE,CLINTON,0.013
LEGISLATURE,LAWYER,0.013
LEGISLATURE,STATE,0.013
LEGS,ARMS,0.541
LEGS,FEET,0.115
LEGS,LONG,0.054
LEGS,RUN,0.034
LEGS,SHAVE,0.027
LEGS,WOMAN,0.027
LEGS,KNEES,0.02
LEGS,WALK,0.02
LEGS,BODY,0.014
LEGS,LIMBS,0.014
LEGS,PANTYHOSE,0.014
LEGS,TAN,0.014
LEGS,THIGHS,0.014
LEMON,LIME,0.429
LEMON,SOUR,0.16
LEMON,ORANGE,0.09
LEMON,TREE,0.051
LEMON,FRUIT,0.045
LEMON,YELLOW,0.045
LEMON,CAR,0.032
LEMON,LEMONADE,0.026
LEMON,PEEL,0.026
LEMON,APPLE,0.013
LEMON,SQUEEZE,0.013
LEMONADE,DRINK,0.23
LEMONADE,SOUR,0.118
